name,rubble_type,side,container,row,column,label
1_cca_bottom,cca,bottom,1,1002,1240,cs
1_cca_bottom,cca,bottom,1,1217,1487,cs
1_cca_bottom,cca,bottom,1,979,1530,x
1_cca_bottom,cca,bottom,1,1171,2054,cb
1_cca_bottom,cca,bottom,1,912,1816,cs
1_cca_bottom,cca,bottom,1,924,1810,cs
1_cca_bottom,cca,bottom,1,1130,1977,cb
1_cca_bottom,cca,bottom,1,1182,1753,cb
1_cca_bottom,cca,bottom,1,995,1875,cb
1_cca_bottom,cca,bottom,1,926,1800,cs
1_cca_bottom,cca,bottom,1,1036,2199,cb
1_cca_bottom,cca,bottom,1,1078,2186,cb
1_cca_bottom,cca,bottom,1,887,1775,cs
1_cca_bottom,cca,bottom,1,1277,1777,cb
1_cca_bottom,cca,bottom,1,1011,2265,cb
1_cca_bottom,cca,bottom,1,1211,1967,cb
1_cca_bottom,cca,bottom,1,926,2198,cb
1_cca_bottom,cca,bottom,1,1259,2001,cb
1_cca_bottom,cca,bottom,1,1294,2052,cb
1_cca_bottom,cca,bottom,1,1319,2586,cs
1_cca_bottom,cca,bottom,1,1232,2347,cb
1_cca_bottom,cca,bottom,1,1256,2646,cs
1_cca_bottom,cca,bottom,1,971,2465,cb
1_cca_bottom,cca,bottom,1,894,2518,cb
1_cca_bottom,cca,bottom,1,1176,2717,cs
1_cca_bottom,cca,bottom,1,915,2345,cb
1_cca_bottom,cca,bottom,1,1133,2716,cs
1_cca_bottom,cca,bottom,1,1234,2396,cb
1_cca_bottom,cca,bottom,1,1009,2706,cs
1_cca_bottom,cca,bottom,1,1079,2834,x
1_cca_bottom,cca,bottom,1,1174,2801,x
1_cca_bottom,cca,bottom,1,974,2462,cb
1_cca_bottom,cca,bottom,1,1487,448,bb
1_cca_bottom,cca,bottom,1,1598,219,os
1_cca_bottom,cca,bottom,1,1582,448,bs
1_cca_bottom,cca,bottom,1,1476,115,bs
1_cca_bottom,cca,bottom,1,1512,500,bb
1_cca_bottom,cca,bottom,1,1389,354,bb
1_cca_bottom,cca,bottom,1,1347,334,bb
1_cca_bottom,cca,bottom,1,1336,15,bs
1_cca_bottom,cca,bottom,1,1678,242,cs
1_cca_bottom,cca,bottom,1,1552,50,cs
1_cca_bottom,cca,bottom,1,1555,351,bs
1_cca_bottom,cca,bottom,1,1592,258,os
1_cca_bottom,cca,bottom,1,1664,360,bs
1_cca_bottom,cca,bottom,1,1459,484,bb
1_cca_bottom,cca,bottom,1,1398,401,bb
1_cca_bottom,cca,bottom,1,1491,1137,cb
